id,name,node,time,maxRSS
4758183,ni78gs_4_1n4d,frontier06133,00:01:39,
4758182,ni48gs_4_1n4d,frontier05115,00:02:27,
4757954,o16gs_10_3n3d,frontier[05885,06002,06129],00:01:02,
4757958,o16gs_10_6n6d,frontier[06908,07033,07161,07291,07417,07545],00:01:03,
4757975,c12gs_10_6n6d,frontier[09198,09329],01:39:26,
4759829,ca40gs_7_2n8d,frontier[06129,06262],00:01:19,
4759830,o16gs_10_2n8d,frontier[08818,09012],00:01:29,
4764402,o16gs_8_1n4d,frontier07270,00:04:52,
4764404,o16gs_8_4n1d,frontier[07649-07652],00:42:16,
4777387,o16gs_4_1n1d,frontier00777,00:00:30,
4777430,o16gs_5_1n1d,frontier00777,00:00:35,
4777431,o16gs_6_1n1d,frontier00785,00:01:43,
4777439,o16gs_7_1n1d,frontier00777,00:02:21,
4777486,o16gs_7_1n1d,frontier00900,00:00:18,
4777516,o16gs_7_1n1d,frontier00006,00:05:20,
4777568,o16gs_8_1n1d,frontier03725,00:00:41,
4781626,o16gs_4_1n1d_jcpu,frontier01650,00:13:24,
4782809,o16gs_5_1n1d_jcpu,frontier08824,01:09:32,
4784818,o16gs_4_1n1d_jcpu,frontier06091,00:13:45,
4784824,o16gs_6_1n1d_jcpu,frontier10496,00:03:24,
4784819,o16gs_5_1n1d_jcpu,frontier04963,01:09:25,
4791026,o16gs_4_cpu,frontier05749,00:29:00,
4811261,o16gs_4_2n8d,frontier[01225-01226],00:00:03,
4811267,o16gs_4_2n8d,frontier[04555-04556],00:01:15,
4811946,o16gs_8_2n8d,frontier[08706,08713],00:00:19,
4813305,o16gs_3_1n1d,frontier04473,00:00:23,
4813310,o16gs_3_1n1d,frontier05973,00:00:27,
4821154,o16gs_6_2n2d,frontier[01616-01617],00:00:07,
4821156,o16gs_6_4n1d,frontier[06468-06471],00:00:08,
4821183,o16gs_6_1n4d,frontier08025,00:01:12,
4821181,o16gs_6_4n1d,frontier[06485-06488],00:07:27,
4821182,o16gs_6_2n2d,frontier[07640-07641],00:16:28,
4821340,o16gs_6_2n2d,frontier[08589-08590],00:15:42,
4822392,o16gs_5_1n4d,frontier03725,00:00:56,
4822400,o16gs_4_1n4d,frontier08246,00:01:03,
4822398,o16gs_4_4n1d,frontier[08123,08130,08133,08179],00:02:37,
4822394,o16gs_5_4n1d,frontier[07569-07572],00:02:51,
4822389,o16gs_5_2n2d,frontier[03182,03186],00:05:12,
4822399,o16gs_4_2n2d,frontier[01841,01847],00:05:12,
4838706,o16gs_4_2n2d,frontier09466,00:01:29,
4838707,o16gs_4_2n2d,frontier[06216,07971],00:06:25,
4838708,o16gs_4_4n1d,frontier[07934,08039,08191,09213],00:04:21,
4838711,o16gs_7_2n2d,frontier[06886,07159],00:04:26,
4838709,o16gs_7_4n1d,frontier[06884,06997,07290,07534],00:04:52,
4862135,o16gs_4_1n4d,frontier09217,00:00:40,
4862211,o16gs_7_4n1d,frontier[08705-08708],00:18:22,
4862702,o16gs_7_2n2d,frontier[09025,09046],00:44:31,
4901045,o16gs_10_2n8d,frontier[00206-00207],00:00:12,
4901817,o16gs_8_2n8d,frontier[00256,04214],00:00:04,
4901932,o16gs_8_1n4d,frontier08569,00:02:03,
4902015,o16gs_8_1n4d,frontier04097,00:00:05,
4902088,o16gs_8_1n4d,frontier03931,00:05:10,
4952681,o16gs_10_2n8d,frontier[09159-09160],00:00:43,
4952695,o16gs_10_2n8d,frontier[09159-09160],00:00:13,
4952707,o16gs_8_1n4d,frontier09033,00:05:57,
4953099,o16gs_8_1n4d,frontier01242,00:00:17,
4953106,o16gs_8_1n4d,frontier01233,00:00:11,
4953112,o16gs_8_1n4d,frontier00425,00:00:13,
4953131,o16gs_10_2n8d,frontier[00603,00605],00:00:12,
4953142,o16gs_10_2n8d,frontier[00603,00605],00:00:12,
4953224,o16gs_8_1n4d,frontier00182,00:00:12,
4953387,o16gs_8_2n8d,frontier[01426,01536],00:00:28,
4953408,o16gs_10_2n8d,frontier[07991,08626],00:04:26,
4953470,o16gs_8_1n4d,frontier07685,00:05:42,
4953489,o16gs_9_1n4d,frontier06388,00:01:26,
4953568,o16gs_10_2n8d,frontier[06272,06392],00:04:35,
4953636,o16gs_10_16n1d,frontier[03631,03750,03871,03995,04123,04273,04395,04537,04781,04911,05041,05177,05305,05684,05821,05944],01:27:57,
4957513,o16gs_10_2n8d,frontier[09458,09461],00:01:47,
4957582,o16gs_10_2n8d,frontier[09448,09453],00:02:01,
4958556,o16gs_10_2n8d,frontier[02890,02901],00:02:09,
4958762,o16gs_10_2n8d,frontier[04994,05014],00:04:09,
4958763,o16gs_10_2n8d,frontier[05719,05722],00:04:36,
4958564,o16gs_10_2n8d,frontier[08452,08478],00:40:31,
4958922,o16gs_10_2n8d,frontier[08067,08072],00:03:55,
4962264,o16gs_10_2n8d,frontier[04855-04856],00:00:09,
4962267,o16gs_10_2n8d,frontier[00057,00059],00:00:08,
4962276,o16gs_8_1n4d,frontier01159,00:00:27,
4964767,o16gs_8_1n4d,frontier09168,00:00:13,
4964775,o16gs_8_1n4d,frontier09090,00:02:06,
4981354,o16gs_6_1n4d,frontier06400,00:13:55,
4988679,o16gs_6_1n4d,frontier09276,00:00:10,
5004458,o16gs_7_1n1d,frontier07317,00:02:01,
5004457,o16gs_6_1n1d,frontier08643,00:12:57,
